Industry,Broad_Industry
Restaurants and other food services,Accommodation and Food Services
Traveler accommodation,Accommodation and Food Services
"Drinking places, alcoholic beverages",Accommodation and Food Services
"Recreational vehicle parks and camps, and rooming and boarding houses",Accommodation and Food Services
Waste management and remediation services,Administrative and Support and Waste Management and Remediation Services
Landscaping services,Administrative and Support and Waste Management and Remediation Services
Employment services,Administrative and Support and Waste Management and Remediation Services
Services to buildings and dwellings,Administrative and Support and Waste Management and Remediation Services
Business support services,Administrative and Support and Waste Management and Remediation Services
Investigation and security services,Administrative and Support and Waste Management and Remediation Services
Other administrative and other support services,Administrative and Support and Waste Management and Remediation Services
Travel arrangements and reservation services,Administrative and Support and Waste Management and Remediation Services
Animal production,"Agriculture, Forestry, Fishing and Hunting"
Logging,"Agriculture, Forestry, Fishing and Hunting"
Crop production,"Agriculture, Forestry, Fishing and Hunting"
"Fishing, hunting, and trapping","Agriculture, Forestry, Fishing and Hunting"
Support activities for agriculture and forestry,"Agriculture, Forestry, Fishing and Hunting"
"Forestry, except logging","Agriculture, Forestry, Fishing and Hunting"
Motion pictures and video industries,"Arts, Entertainment, and Recreation"
"Other amusement, gambling, and recreation industries","Arts, Entertainment, and Recreation"
"Independent artists, performing arts, spectator sports, and related industries","Arts, Entertainment, and Recreation"
"Museums, art galleries, historical sites, and similar institutions","Arts, Entertainment, and Recreation"
Bowling centers,"Arts, Entertainment, and Recreation"
Video tape and disk rental,"Arts, Entertainment, and Recreation"
Sound recording industries,"Arts, Entertainment, and Recreation"
Construction,Construction
Elementary and secondary schools,Educational Services
"Colleges and universities, including junior colleges",Educational Services
"Other schools and instruction, and educational support services",Educational Services
Libraries and archives,Educational Services
"Business, technical, and trade schools and training",Educational Services
Insurance carriers and related activities,Finance and Insurance
"Securities, commodities, funds, trusts, and other financial investments",Finance and Insurance
Banking and related activities,Finance and Insurance
"Savings institutions, including credit unions",Finance and Insurance
Non-depository credit and related activities,Finance and Insurance
Home health care services,Health Care and Social Assistance
Hospitals,Health Care and Social Assistance
Other health care services,Health Care and Social Assistance
Nursing care facilities,Health Care and Social Assistance
Offices of physicians,Health Care and Social Assistance
Child day care services,Health Care and Social Assistance
"Residential care facilities, without nursing",Health Care and Social Assistance
Outpatient care centers,Health Care and Social Assistance
Offices of chiropractors,Health Care and Social Assistance
